ID	Total_abun	Sp_rich	Sp_rich2	Dist_neighbour	Neighbour_5m	Habitat	HAS	HAS_2	Rugosity
94	38	4	4.0000001	Low	High	Bommie	High	Medium	High
95	5	4	4.0000001	Low	Medium	Bommie	High	Medium	High
96	0	0	0.0000001	Low	Medium	Bommie	Very low	Low	Medium
97	141	5	5.0000001	Low	Very high	Bommie	Low	Medium	High
98	164	7	7.0000001	Very low	Very high	Bommie	High	Medium	High
99	5	1	1.0000001	Very low	Very high	Bommie	Low	Low	High
100	1	1	1.0000001	Very low	High	Bommie	Low	Medium	High
101	32	4	4.0000001	Low	Medium	Bommie	Medium	Medium	High
102	15	7	7.0000001	Very low	High	Bommie	High	Medium	High
103	15	5	5.0000001	Very low	High	Bommie	High	Medium	High
104	3	2	2.0000001	Low	High	Bommie	High	Medium	High
105	28	8	8.0000001	Low	Medium	Bommie	Medium	Medium	High
106	0	0	0.0000001	Very low	High	Bommie	Low	Low	Medium
107	94	13	13.0000001	Very low	Medium	Bommie	Very high	High	Medium
108	6	4	4.0000001	Low	Medium	Bommie	Medium	Medium	Medium
109	25	8	8.0000001	Low	Medium	Bommie	Medium	Medium	High
110	25	7	7.0000001	Low	Medium	Bommie	Medium	Medium	High
111	13	5	5.0000001	Very low	High	Bommie	Medium	Medium	High
112	20	8	8.0000001	Low	High	Bommie	Medium	Medium	Medium
113	6	6	6.0000001	Low	High	Bommie	Medium	Medium	High
114	45	14	14.0000001	Low	High	Bommie	High	High	High
115	35	10	10.0000001	Low	Very high	Bommie	High	Medium	High
116	15	4	4.0000001	Low	Low	Bommie	Medium	Medium	High
117	14	6	6.0000001	Very low	High	Bommie	Low	Low	Medium
118	3	2	2.0000001	Very low	Medium	Bommie	Low	Low	Medium
143	9	7	7.0000001	Medium	Medium	Bommie	Low	Low	Medium
144	12	8	8.0000001	Low	Medium	Bommie	Medium	Medium	High
145	2	1	1.0000001	Medium	High	Bommie	Very low	Low	Medium
146	0	0	0.0000001	Low	High	Bommie	Very low	Low	Medium
147	140	15	15.0000001	Low	High	Bommie	High	Medium	Medium
148	6	4	4.0000001	Low	High	Bommie	Low	Medium	Medium
149	12	7	7.0000001	Low	Medium	Bommie	Low	Medium	Medium
150	24	9	9.0000001	Low	Medium	Bommie	Medium	Medium	Low
151	13	9	9.0000001	Very low	Medium	Bommie	Low	Low	Medium
152	7	4	4.0000001	Medium	Medium	Bommie	Low	Low	Medium
153	17	6	6.0000001	Low	Low	Bommie	Medium	Medium	Low
154	17	7	7.0000001	Very low	Very high	Bommie	Medium	Medium	Medium
155	16	6	6.0000001	Very low	Very high	Bommie	High	Medium	High
156	2	2	2.0000001	Low	Very high	Bommie	Low	Low	Medium
157	8	5	5.0000001	Very low	Very high	Bommie	Medium	Medium	High
158	7	4	4.0000001	Very low	Very high	Bommie	Medium	Medium	High
159	6	3	3.0000001	Very low	Very high	Bommie	Low	Low	High
160	1	1	1.0000001	Very low	High	Bommie	Low	Low	Medium
161	6	2	2.0000001	Low	Medium	Bommie	Low	Low	Low
162	4	2	2.0000001	Low	Very high	Bommie	Medium	Medium	High
163	3	2	2.0000001	Low	Very high	Bommie	Medium	Medium	Medium
164	0	0	0.0000001	Low	Very high	Bommie	Very low	Low	Medium
165	7	3	3.0000001	Very low	High	Bommie	Medium	Medium	High
166	0	0	0.0000001	Very low	Medium	Bommie	Very low	Low	Medium
167	9	3	3.0000001	Low	Medium	Bommie	Low	Medium	Medium
168	7	3	3.0000001	Low	Medium	Bommie	Low	Medium	High
169	4	4	4.0000001	Low	Medium	Bommie	Very low	Low	Medium
170	5	3	3.0000001	Low	Medium	Bommie	Very low	Low	Medium
171	8	5	5.0000001	Medium	Low	Bommie	Medium	Medium	Medium
172	0	0	0.0000001	Low	Medium	Bommie	Low	Medium	Medium
173	16	9	9.0000001	Low	Medium	Bommie	Low	Low	Medium
174	10	7	7.0000001	Very low	Medium	Bommie	Low	Medium	Medium
175	18	9	9.0000001	Very low	Medium	Bommie	Medium	Medium	Medium
176	75	15	15.0000001	Low	Medium	Bommie	High	Medium	Medium
177	2	2	2.0000001	Medium	Medium	Bommie	Low	Low	Medium
178	32	12	12.0000001	Medium	Low	Bommie	High	Medium	Medium
179	1	1	1.0000001	Medium	Medium	Bommie	Low	Low	Medium
180	1	1	1.0000001	Medium	Low	Bommie	Low	Low	Medium
181	8	5	5.0000001	Very low	Medium	Bommie	Medium	Medium	Medium
182	15	10	10.0000001	Very low	Medium	Bommie	High	Medium	Medium
183	0	0	0.0000001	Very low	Medium	Bommie	Low	Low	Medium
184	6	2	2.0000001	Medium	Medium	Bommie	Low	Low	Medium
185	15	4	4.0000001	Low	High	Bommie	Medium	Medium	Low
186	1	1	1.0000001	Low	High	Bommie	Low	Medium	Medium
187	17	7	7.0000001	Low	Medium	Bommie	Low	Low	Low
188	2	2	2.0000001	Medium	Medium	Bommie	Low	Low	Medium
189	29	8	8.0000001	Low	Medium	Bommie	Medium	Medium	Low
190	3	2	2.0000001	High	Low	Seagrass	Low	Medium	Medium
191	0	0	0.0000001	Low	Low	Seagrass	Low	Low	Medium
192	3	2	2.0000001	Low	Low	Seagrass	Low	Low	High
193	80	14	14.0000001	Medium	Low	Seagrass	Very high	High	High
